,현장명,일시,신호횟수,운영시간,녹색시간,통과보행자,보행시간,보행자분류_일반,보행자분류_적색횡단,보행자분류_무단횡단,연장_횟수,연장_시간,연장_보행자,교통약자_목발,교통약자_휠체어,교통약자_유모차,교통약자_합계,잔여,보도길이,보행속도,시간,월,요일(0~6)
98,자운학교앞(5),2022-05-22 16:00:00,21,3570,849,54,28.18181818,50,1,0,2,7,3,1,1,0,2,0,35,1.241935483951093,16,5,6
99,자운학교앞(5),2022-05-22 17:00:00,21,3577,877,123,26.58333333,91,2,0,5,34,17,4,4,3,11,1,35,1.316614420227789,17,5,6
100,자운학교앞(5),2022-05-22 18:00:00,21,3564,850,58,28.27272727,51,0,0,3,6,4,3,5,0,8,0,35,1.237942122305911,18,5,6
101,자운학교앞(5),2022-05-22 19:00:00,21,3576,856,43,28.22727273,33,3,0,3,12,4,0,5,0,5,0,35,1.239935587641874,19,5,6
102,자운학교앞(5),2022-05-22 20:00:00,22,3739,891,72,25.63636364,68,0,0,1,4,2,2,5,2,9,0,35,1.365248226756702,20,5,6
103,자운학교앞(5),2022-05-22 21:00:00,23,3575,920,20,25.55555556,18,2,0,0,0,0,0,1,1,2,0,35,1.369565217153119,21,5,6
104,자운학교앞(5),2022-05-22 22:00:00,24,3600,964,22,26.22222222,17,3,0,1,3,2,0,2,1,3,0,35,1.334745762824979,22,5,6
105,자운학교앞(5),2022-05-22 23:00:00,24,3600,959,7,20.66666667,4,3,0,0,0,0,0,2,0,2,0,35,1.693548386823621,23,5,6
106,자운학교앞(5),2022-05-23 00:00:00,24,3600,958,2,0.0,2,0,0,0,0,0,0,0,0,0,0,35,0.0,0,5,0
107,자운학교앞(5),2022-05-23 01:00:00,24,3600,958,3,27.5,2,1,0,0,0,0,0,0,0,0,0,35,1.272727272727273,1,5,0
108,자운학교앞(5),2022-05-23 02:00:00,24,3600,960,1,33.0,0,1,0,0,0,0,0,0,0,0,0,35,1.060606060606061,2,5,0
109,자운학교앞(5),2022-05-23 03:00:00,24,3600,960,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,3,5,0
110,자운학교앞(5),2022-05-23 04:00:00,24,3600,960,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,4,5,0
